prompt,output,tags
What is the role of the Finance Commission in reviewing the financial position of Panchayats?,"The Finance Commission reviews the financial position of Panchayats and makes recommendations to the Governor regarding the distribution of proceeds from taxes, duties, tolls, and fees, determination of taxes and duties, grants-in-aid, measures to improve the financial position of Panchayats, and any other matters in the interests of sound finance of the Panchayats.","['panchayats', 'what', 'financial', 'the', 'position', 'role', 'commission', 'reviewing', 'in', 'of', 'is', 'finance']"
What provisions can be made by state legislatures concerning the maintenance and auditing of accounts by Panchayats?,"State legislatures can make provisions with respect to the maintenance of accounts by Panchayats and the auditing of such accounts, as per the Constitution of India.","['panchayats', 'what', 'made', 'the', 'provisions', 'auditing', 'legislatures', 'maintenance', 'state', 'accounts', 'be', 'and', 'of', 'by', 'concerning', 'can']"
Who is responsible for the preparation of electoral rolls and the conduct of elections to Panchayats?,"The State Election Commission, consisting of a State Election Commissioner appointed by the Governor, is responsible for the preparation of electoral rolls and the conduct of elections to Panchayats.","['panchayats', 'rolls', 'the', 'preparation', 'electoral', 'elections', 'who', 'conduct', 'to', 'responsible', 'for', 'and', 'of', 'is']"
Do the provisions of Part IX of the Constitution of India apply to Union territories?,"Yes, the provisions of Part IX of the Constitution of India apply to Union territories with certain modifications, such as references to the Governor being replaced by references to the Administrator of the Union territory, and references to the legislature or legislative assembly being replaced by references to the Legislative Assembly of the Union territory, if any.","['the', 'do', 'provisions', 'territories', 'ix', 'to', 'apply', 'constitution', 'india', 'part', 'union', 'of']"
Are there exceptions to the application of Part IX of the Constitution of India concerning Panchayats in certain areas?,"Yes, Part IX of the Constitution of India does not apply to Scheduled Areas and tribal areas referred to in article 244, the states of Nagaland, Meghalaya, and Mizoram, hill areas in the state of Manipur with existing District Councils, and certain areas in the District of Darjeeling in the state of West Bengal where the Darjeeling Gorkha Hill Council exists.","['panchayats', 'certain', 'the', 'ix', 'areas', 'there', 'application', 'to', 'are', 'constitution', 'india', 'part', 'in', 'of', 'concerning', 'exceptions']"
"What is the provision regarding the continuance of existing laws and Panchayats after the commencement of the Constitution (Seventy-third Amendment) Act, 1992?","Existing laws relating to Panchayats that are inconsistent with the provisions of Part IX of the Constitution shall continue to be in force until amended or repealed by a competent legislature or other competent authority or until the expiration of one year from the commencement of the Constitution (Seventy-third Amendment) Act, 1992. Existing Panchayats shall continue till the expiration of their duration, unless sooner dissolved by a resolution passed by the respective state legislative assembly.","['panchayats', 'what', 'commencement', 'the', 'act', 'amendment', 'laws', 'provision', 'continuance', 'constitution', '1992', 'and', 'regarding', 'seventythird', 'is', 'of', 'existing', 'after']"
Can courts interfere in electoral matters concerning Panchayats?,"No, courts cannot interfere in electoral matters concerning Panchayats, including the validity of any law relating to the delimitation of constituencies or the allotment of seats, or calling into question any election to any Panchayat, as per the Constitution of India.","['panchayats', 'electoral', 'interfere', 'in', 'courts', 'concerning', 'can', 'matters']"
What is the provision for reservation of seats in Panchayats for backward classes of citizens?,Nothing in Part IX of the Constitution of India prevents the state legislature from making provisions for the reservation of seats in Panchayats or offices of Chairpersons in Panchayats at any level in favor of backward classes of citizens.,"['panchayats', 'what', 'classes', 'the', 'backward', 'provision', 'reservation', 'for', 'in', 'of', 'is', 'citizens', 'seats']"
What is the role of the Governor in the constitution of Finance Commission for Panchayats?,"The Governor of a State is responsible for constituting a Finance Commission within one year from the commencement of the Constitution (Seventy-third Amendment) Act, 1992, and thereafter at the expiration of every fifth year, to review the financial position of the Panchayats and make recommendations.","['panchayats', 'what', 'the', 'role', 'commission', 'constitution', 'finance', 'for', 'in', 'of', 'is', 'governor']"
How can a state with existing exceptions to the application of Part IX of the Constitution of India extend this part to that state?,A state with existing exceptions to the application of Part IX of the Constitution of India can extend this part to that state by passing a resolution in the legislative assembly by a majority of the total membership of that house and by a majority of not less than two-thirds of the members of that house present and voting.,"['with', 'the', 'how', 'a', 'that', 'extend', 'ix', 'state', 'application', 'to', 'constitution', 'india', 'part', 'of', 'this', 'existing', 'can', 'exceptions']"
"What is the power of the Legislature of a State with respect to taxes on professions, trades, callings, and employments?","The power of the Legislature of a State to make laws with respect to taxes on professions, trades, callings, and employments is not limited in any way by the power of Parliament to make laws with respect to taxes on income accruing from or arising out of professions, trades, callings, and employments.","['with', 'what', 'trades', 'the', 'a', 'power', 'on', 'employments', 'legislature', 'state', 'callings', 'to', 'respect', 'and', 'of', 'is', 'professions', 'taxes']"
"What are the taxes, duties, cesses, or fees that were being lawfully levied before the commencement of the Indian Constitution?","Any taxes, duties, cesses, or fees that were being lawfully levied by the Government of any State or by any municipality or other local authority or body for the purposes of the State, municipality, district, or other local area before the commencement of the Constitution can continue to be levied and applied to the same purposes until provision to the contrary is made by Parliament by law.","['before', 'what', 'being', 'the', 'that', 'cesses', 'fees', 'levied', 'are', 'duties', 'constitution', 'lawfully', 'were', 'or', 'of', 'commencement', 'taxes', 'indian']"
What does 'net proceeds' mean in the context of the Indian Constitution?,"In the context of the Indian Constitution, 'net proceeds' means the proceeds of any tax or duty reduced by the cost of collection. The net proceeds of any tax or duty, or any part of any tax or duty, in or attributable to any area shall be ascertained and certified by the Comptroller and Auditor-General of India, whose certificate shall be final.","['mean', 'what', 'the', 'net', 'constitution', 'proceeds', 'does', 'in', 'context', 'of', 'indian']"
What is the Goods and Services Tax Council?,"The Goods and Services Tax Council is a body constituted by the President within sixty days from the date of commencement of the Constitution (One Hundred and First Amendment) Act, 2016. It consists of the Union Finance Minister as Chairperson, the Union Minister of State in charge of Revenue or Finance as a Member, and the Minister in charge of Finance or Taxation or any other Minister nominated by each State Government as Members. The Council makes recommendations to the Union and the States on various aspects of the goods and services tax.","['what', 'the', 'services', 'and', 'goods', 'is', 'council', 'tax']"
What are the functions of the Finance Commission?,The Finance Commission is responsible for making recommendations to the President on the distribution between the Union and the States of the net proceeds of taxes; the principles governing the grants-in-aid of the revenues of the States out of the Consolidated Fund of India; the measures needed to augment the Consolidated Funds of States to supplement the resources of Panchayats and Municipalities; and any other matter referred to the Commission by the President in the interests of sound finance.,"['what', 'the', 'functions', 'commission', 'are', 'of', 'finance']"
What is the role of the President in relation to the recommendations of the Finance Commission?,"The President shall cause every recommendation made by the Finance Commission under the provisions of the Indian Constitution, along with an explanatory memorandum as to the action taken thereon, to be laid before each House of Parliament.","['what', 'relation', 'the', 'recommendations', 'role', 'commission', 'to', 'in', 'of', 'is', 'finance', 'president']"
Can the Union or a State make grants for any public purpose?,"Yes, the Union or a State may make grants for any public purpose, notwithstanding that the purpose is not one with respect to which Parliament or the Legislature of the State, as the case may be, may make laws.","['the', 'grants', 'a', 'any', 'state', 'purpose', 'union', 'for', 'public', 'or', 'can', 'make']"
What is the exemption of property of the Union from State taxation?,"The property of the Union is exempt from all taxes imposed by a State or any authority within a State, save in so far as Parliament may by law otherwise provide.","['what', 'the', 'property', 'state', 'exemption', 'union', 'taxation', 'of', 'is', 'from']"
What restrictions does the Indian Constitution impose on the imposition of tax on the sale or purchase of goods?,"No law of a State shall impose, or authorize the imposition of, a tax on the supply of goods or services or both where such supply takes place outside the State or in the course of the import of the goods or services or both into, or export of the goods or services or both out of, the territory of India.","['imposition', 'purchase', 'what', 'the', 'on', 'restrictions', 'sale', 'constitution', 'does', 'of', 'goods', 'or', 'indian', 'impose', 'tax']"
What is the exemption from taxes on electricity?,"No law of a State shall impose, or authorize the imposition of, a tax on the consumption or sale of electricity (whether produced by a Government or other persons) which is consumed by the Government of India, or sold to the Government of India for consumption by that Government, or consumed in the construction, maintenance, or operation of any railway by the Government of India or a railway company operating that railway, or sold to that Government or any such railway company for consumption in the construction, maintenance, or operation of any railway, unless Parliament by law otherwise provides.","['what', 'the', 'on', 'electricity', 'exemption', 'is', 'taxes', 'from']"
What is the exemption from taxation by States in respect of water or electricity in certain cases?,"No law of a State in force immediately before the commencement of the Indian Constitution shall impose, or authorize the imposition of, a tax in respect of any water or electricity stored, generated, consumed, distributed, or sold by any authority established by any existing law or any law made by Parliament for regulating or developing any inter-State river or river valley, unless the President otherwise provides by order.","['what', 'certain', 'the', 'electricity', 'or', 'by', 'cases', 'exemption', 'states', 'respect', 'water', 'in', 'taxation', 'is', 'of', 'from']"
What is the exemption of property and income of a State from Union taxation?,"The property and income of a State shall be exempt from Union taxation. However, this does not prevent the Union from imposing, or authorizing the imposition of, any tax to the extent that Parliament may by law provide in respect of a trade or business of any kind carried on by, or on behalf of, the Government of a State, or any operations connected therewith, or any property used or occupied for the purposes of such trade or business, or any income accruing or arising in connection therewith.","['what', 'the', 'property', 'a', 'state', 'exemption', 'union', 'taxation', 'and', 'from', 'of', 'is', 'income']"
What is the role of the Comptroller and Auditor-General of India in the context of the Indian Constitution?,"In the context of the Indian Constitution, the role of the Comptroller and Auditor-General of India is to ascertain and certify the net proceeds of any tax or duty, or any part of any tax or duty, in or attributable to any area. The Comptroller and Auditor-General's certificate on the net proceeds shall be final.","['what', 'the', 'role', 'auditorgeneral', 'comptroller', 'india', 'constitution', 'and', 'in', 'of', 'context', 'is', 'indian']"
What is the purpose of the Consolidated Fund of India and the Consolidated Fund of a State?,"The Consolidated Fund of India and the Consolidated Fund of a State are used for the payment of moneys into such Funds, the withdrawal of moneys therefrom, the custody of public moneys received by or on behalf of the Government of India or the Government of the State, their payment into the public account of India or the public account of the State, and the withdrawal of moneys from such account, as well as all other matters connected with or ancillary to such funds.","['what', 'the', 'a', 'fund', 'state', 'purpose', 'india', 'consolidated', 'and', 'of', 'is']"
"What is the role of the President in relation to the custody, etc., of Consolidated Funds, Contingency Funds, and moneys credited to public accounts?","The role of the President in relation to the custody, etc., of Consolidated Funds, Contingency Funds, and moneys credited to public accounts is to regulate these matters by rules made by the President, until provision in that behalf is made by Parliament through a law. The President can also provide for the manner in which the proceeds of any duty or tax are to be calculated, for the time from or at which and the manner in which any payments are to be made, for the making of adjustments between one financial year and another, and for any other incidental or ancillary matters.","['moneys', 'in', 'president', 'is', 'relation', 'the', 'role', 'to', 'accounts', 'credited', 'contingency', 'custody', 'public', 'of', 'what', 'consolidated', 'and', 'etc', 'funds']"
Can any authority within a State levy any tax on any property of the Union?,"No authority within a State can levy any tax on any property of the Union, unless Parliament by law otherwise provides, or until Parliament by law otherwise provides, any such tax on any property of the Union to which such property was immediately before the commencement of the Indian Constitution liable or treated as liable, so long as that tax continues to be levied in that State.","['the', 'property', 'a', 'any', 'authority', 'on', 'state', 'union', 'of', 'levy', 'within', 'can', 'tax']"
What are the restrictions on the imposition of tax on the consumption or sale of electricity by a State?,"A State cannot impose, or authorize the imposition of, a tax on the consumption or sale of electricity which is consumed by the Government of India, or sold to the Government of India for consumption by that Government, or consumed in the construction, maintenance, or operation of any railway by the Government of India or a railway company operating that railway, or sold to that Government or any such railway company for consumption in the construction, maintenance, or operation of any railway, unless Parliament by law otherwise provides.","['imposition', 'what', 'the', 'a', 'consumption', 'on', 'restrictions', 'electricity', 'state', 'by', 'are', 'sale', 'of', 'or', 'tax']"
"Can a State impose tax on water or electricity stored, generated, consumed, distributed, or sold by any authority established by any existing law or any law made by Parliament?","A State can impose, or authorize the imposition of, a tax on water or electricity stored, generated, consumed, distributed, or sold by any authority established by any existing law or any law made by Parliament only if the President provides by order or if the law imposing the tax has been reserved for the consideration of the President and has received his assent.","['a', 'consumed', 'stored', 'sold', 'by', 'impose', 'tax', 'any', 'on', 'water', 'electricity', 'law', 'existing', 'can', 'made', 'authority', 'state', 'distributed', 'established', 'generated', 'parliament', 'or']"
What is the procedure for the Goods and Services Tax Council to perform its functions?,"The Goods and Services Tax Council shall determine the procedure in the performance of its functions, which includes establishing a mechanism to adjudicate any dispute arising out of the Council's recommendations or implementation thereof. Decisions of the Council shall be taken at a meeting, by a majority of not less than three-fourths of the weighted votes of the members present and voting.","['perform', 'what', 'the', 'functions', 'services', 'to', 'for', 'and', 'goods', 'is', 'council', 'its', 'procedure', 'tax']"
What is Article 330 of the Indian Constitution?,"Article 330 of the Indian Constitution deals with the reservation of seats for Scheduled Castes and Scheduled Tribes in the House of the People. It mandates that seats shall be reserved for Scheduled Castes, Scheduled Tribes (except in the autonomous districts of Assam), and Scheduled Tribes in the autonomous districts of Assam. The number of reserved seats should bear the same proportion to the total number of seats allotted to the State or Union Territory as the population of the Scheduled Castes or Scheduled Tribes bears to the total population of the State or Union Territory.","['what', 'the', '330', 'constitution', 'of', 'article', 'is', 'indian']"
What does Article 331 state?,Article 331 of the Indian Constitution states that the President of India may nominate not more than two members of the Anglo-Indian community to the House of the People if he believes that the community is not adequately represented. This provision ensures that the Anglo-Indian community has representation in the parliament.,"['what', '331', 'state', 'does', 'article']"
What is the purpose of Article 332?,"Article 332 of the Indian Constitution is about the reservation of seats for Scheduled Castes and Scheduled Tribes in the Legislative Assemblies of the States. It mandates that seats should be reserved for Scheduled Castes and Scheduled Tribes (except for the autonomous districts of Assam) in every State's Legislative Assembly. Additionally, seats should be reserved for the autonomous districts in the Legislative Assembly of the State of Assam. The number of reserved seats should be proportional to the population of the Scheduled Castes or Scheduled Tribes in the State or part of the State.","['what', 'the', 'purpose', '332', 'of', 'article', 'is']"
What does Article 333 state regarding representation of the Anglo-Indian community in State Legislative Assemblies?,Article 333 of the Indian Constitution allows the Governor of a State to nominate one member of the Anglo-Indian community to the State Legislative Assembly if the Governor believes that the community needs representation and is not adequately represented. This provision ensures fair representation for the Anglo-Indian community in State Legislative Assemblies.,"['angloindian', 'what', 'the', 'state', 'community', 'assemblies', '333', 'does', 'regarding', 'article', 'in', 'of', 'representation', 'legislative']"
What is the significance of Article 334?,"Article 334 of the Indian Constitution states that provisions relating to the reservation of seats for Scheduled Castes, Scheduled Tribes, and the representation of the Anglo-Indian community in the House of the People and State Legislative Assemblies shall cease to have effect after a specific period. For clause (a) regarding Scheduled Castes and Scheduled Tribes, the period is 80 years, and for clause (b) regarding the Anglo-Indian community, it is 70 years from the commencement of the Indian Constitution. However, the existing representation shall continue until the dissolution of the then-existing House or Assembly.","['what', '334', 'significance', 'the', 'of', 'article', 'is']"
What does Article 335 address?,"Article 335 of the Indian Constitution deals with the claims of Scheduled Castes and Scheduled Tribes to services and posts. It states that the claims of members of Scheduled Castes and Scheduled Tribes should be taken into consideration while making appointments to services and posts in connection with the affairs of the Union or a State, consistent with the maintenance of efficiency of administration. The article also allows provisions in favor of Scheduled Castes and Scheduled Tribes for relaxation in qualifying marks in examinations or lowering evaluation standards for reservation in promotions.","['what', '335', 'address', 'does', 'article']"
What are the special provisions for the Anglo-Indian community in certain services under Article 336?,"Article 336 of the Indian Constitution provides special provisions for the Anglo-Indian community in certain services like railway, customs, postal, and telegraph services of the Union. For the first two years after the commencement of the Constitution, appointments of Anglo-Indian community members to these posts shall be made on the same basis as before August 15, 1947. During every subsequent period of two years, the number of reserved posts shall be reduced by 10% until all reservations cease after ten years.","['angloindian', 'what', 'certain', 'the', '336', 'provisions', 'services', 'special', 'are', 'community', 'for', 'in', 'article', 'under']"
What does Article 337 state?,"Article 337 of the Indian Constitution deals with special provisions with respect to educational grants for the benefit of the Anglo-Indian community. During the first three financial years after the commencement of the Constitution, the same grants made during the financial year ending on March 31, 1948, shall be provided by the Union and each State for the community's educational benefit. Afterward, during every subsequent three-year period, the grants may be reduced by 10% until they cease after ten years. However, educational institutions must admit at least 40% of members from other communities to be eligible for these grants.","['what', 'state', '337', 'does', 'article']"
What is the purpose of the National Commission for Scheduled Castes under Article 338?,"The purpose of the National Commission for Scheduled Castes, established under Article 338, is to investigate and monitor matters related to safeguards provided for Scheduled Castes under the Constitution or other laws, inquire into specific complaints, participate and advise on the planning process of socio-economic development, evaluate the progress of their development, present reports and recommendations to the President, and discharge functions related to the protection, welfare, development, and advancement of the Scheduled Castes as specified by the President.","['castes', 'what', 'the', 'national', 'scheduled', 'commission', 'purpose', '338', 'for', 'of', 'article', 'is', 'under']"
What is the role of the National Commission for Scheduled Tribes under Article 338A?,"The role of the National Commission for Scheduled Tribes, established under Article 338A, is to investigate and monitor matters related to safeguards provided for Scheduled Tribes under the Constitution or other laws, inquire into specific complaints, participate and advise on the planning process of socio-economic development, evaluate the progress of their development, present reports and recommendations to the President, and discharge functions related to the protection, welfare, development, and advancement of the Scheduled Tribes as specified by the President.","['what', 'the', 'national', 'scheduled', 'article', 'role', 'commission', 'for', '338a', 'of', 'tribes', 'is', 'under']"
What is the National Commission for Backward Classes?,"The National Commission for Backward Classes is a commission established for the socially and educationally backward classes in India. It is responsible for investigating and monitoring matters related to the safeguards provided for these classes under the Constitution or any other law, inquiring into specific complaints, participating and advising on socio-economic development, evaluating progress under the Union and any State, presenting reports to the President, making recommendations for the effective implementation of the safeguards, and discharging other functions related to the protection, welfare, and development of the socially and educationally backward classes.","['what', 'classes', 'the', 'national', 'backward', 'commission', 'for', 'is']"
What is the role of the President in specifying Scheduled Castes and Scheduled Tribes in India?,"The President of India plays a crucial role in specifying Scheduled Castes and Scheduled Tribes in the country. With respect to any State or Union territory, and after consultation with the Governor of the State, the President may issue a public notification specifying the castes, races, or tribes, or parts of or groups within them, which shall be deemed to be Scheduled Castes and Scheduled Tribes in relation to that State or Union territory for the purposes of the Constitution. Parliament may include or exclude any caste, race, tribe, or part of or group within them from the list specified in the notification, but any subsequent notification cannot vary the initial notification issued by the President.","['castes', 'what', 'the', 'scheduled', 'role', 'specifying', 'india', 'and', 'in', 'of', 'tribes', 'is', 'president']"
What is the process of appointing a Commission to investigate the conditions of backward classes in India?,"The President of India may appoint a Commission to investigate the conditions of socially and educationally backward classes within the territory of India. The Commission consists of persons chosen by the President, who will investigate the difficulties faced by these classes and make recommendations on the steps that should be taken to remove such difficulties and improve their condition. The order appointing the Commission shall define the procedure to be followed by the Commission, and the Commission will present a report to the President detailing their findings and recommendations. The President shall then cause a copy of the report, along with a memorandum explaining the action taken on the recommendations, to be laid before each House of Parliament.","['what', 'classes', 'the', 'a', 'appointing', 'backward', 'commission', 'to', 'investigate', 'conditions', 'india', 'process', 'in', 'of', 'is']"
What is the official language of the Union of India?,"The official language of the Union of India is Hindi in Devanagari script. The form of numerals to be used for official purposes is the international form of Indian numerals. However, for a period of fifteen years from the commencement of the Indian Constitution, the English language continued to be used for all official purposes of the Union.","['official', 'what', 'the', 'language', 'union', 'india', 'of', 'is']"
What is the role of the Commission and Committee of Parliament on official language?,"The role of the Commission and Committee of Parliament on official language is to make recommendations to the President regarding the progressive use of Hindi for official purposes of the Union, restrictions on the use of English, the language to be used for purposes mentioned in Article 348, the form of numerals for specified purposes, and any other matter related to the official language of the Union and language for communication between the Union and States or between different States. The Committee, consisting of 30 members, examines the recommendations of the Commission and reports their opinion to the President. The President may then issue directions in accordance with the report or any part of it.","['official', 'what', 'the', 'on', 'role', 'commission', 'committee', 'language', 'parliament', 'and', 'of', 'is']"
How can a State in India adopt an official language?,"Subject to the provisions of articles 346 and 347, the Legislature of a State in India may adopt any one or more of the languages in use in the State or Hindi as the language or languages to be used for all or any of the official purposes of that State by passing a law. However, until the Legislature of the State provides otherwise by law, the English language shall continue to be used for those official purposes within the State for which it was being used immediately before the commencement of the Constitution.","['official', 'adopt', 'how', 'a', 'state', 'an', 'language', 'india', 'in', 'can']"
What is the official language for communication between one State and another or between a State and the Union?,"The official language for communication between one State and another or between a State and the Union is the language authorized for use in the Union for official purposes. However, if two or more States agree that the Hindi language should be the official language for communication between such States, that language may be used for such communication.","['official', 'what', 'the', 'a', 'communication', 'one', 'state', 'or', 'language', 'union', 'for', 'and', 'is', 'another', 'between']"
What are the special provisions related to languages spoken by a section of the population of a State?,"If a substantial proportion of the population of a State desires the use of any language spoken by them to be recognized by that State, the President may, upon a demand being made, direct that such language shall also be officially recognized throughout that State or any part thereof for such purposes as he may specify.","['what', 'the', 'provisions', 'a', 'languages', 'special', 'related', 'are', 'to', 'spoken', 'section', 'state', 'of', 'by', 'population']"
"What is the language to be used in the Supreme Court and High Courts of India and for Acts, Bills, etc.?","Until Parliament provides otherwise by law, the language to be used in the Supreme Court and in every High Court, as well as the authoritative texts of all Bills, Acts, Ordinances, orders, rules, regulations, and bye-laws, shall be in the English language. However, the Governor of a State may, with the previous consent of the President, authorize the use of Hindi or any other language used for official purposes in the State for proceedings in the High Court having its principal seat in that State.","['court', 'for', 'supreme', 'in', 'is', 'high', 'bills', 'the', 'used', 'to', 'acts', 'india', 'of', 'what', 'language', 'be', 'and', 'courts', 'etc']"
What is the role of the President in specifying socially and educationally backward classes in India?,"The President of India has the authority to specify socially and educationally backward classes in any State or Union territory. After consultation with the Governor of the State, the President may issue a public notification identifying the socially and educationally backward classes for the purposes of the Constitution in relation to that State or Union territory. Parliament may include or exclude any socially and educationally backward class from the list specified in the notification, but any subsequent notification cannot vary the initial notification issued by the President.","['socially', 'what', 'classes', 'the', 'educationally', 'backward', 'role', 'specifying', 'india', 'and', 'in', 'of', 'is', 'president']"
What is Article 290 in the Indian Constitution?,"Article 290 in the Indian Constitution deals with the adjustment in respect of certain expenses and pensions. It outlines the circumstances when expenses of any court or commission, or the pension payable to a person who has served under the Crown in India or after the commencement of the Constitution, are charged on the Consolidated Fund of India or the Consolidated Fund of a State. It further specifies the contributions to be charged and paid out of the Consolidated Funds in case of serving the separate needs of a State or the Union, or if the person has served in connection with the affairs of a State, the Union, or another State.","['290', 'what', 'the', 'constitution', 'in', 'article', 'is', 'indian']"
What is the purpose of Article 292 in the Indian Constitution?,"Article 292 in the Indian Constitution grants the executive power of the Union to borrow money upon the security of the Consolidated Fund of India. The borrowing can be done within limits set by Parliament through legislation, and the Union can also provide guarantees within the specified limits. This article helps the Government of India to raise funds when necessary for various purposes, such as infrastructure development, social welfare programs or addressing emergencies.","['what', 'the', 'purpose', 'constitution', 'in', 'of', 'article', 'is', 'indian', '292']"
What does Article 293 of the Indian Constitution state?,"Article 293 of the Indian Constitution deals with borrowing by States. It allows the executive power of a State to borrow money within the territory of India upon the security of the Consolidated Fund of the State, within limits set by the state legislature. The article also allows the Government of India to make loans to any State or give guarantees in respect of loans raised by any State, subject to conditions laid down by Parliament. However, a State cannot raise a loan without the consent of the Government of India if there is still an outstanding loan made by the Government of India or its predecessor, or if a guarantee has been given by the Government of India or its predecessor.","['what', 'the', 'state', '293', 'constitution', 'does', 'of', 'article', 'indian']"
What is the significance of Article 294 in the Indian Constitution?,"Article 294 of the Indian Constitution deals with the succession to property, assets, rights, liabilities, and obligations in certain cases. It states that, as from the commencement of the Constitution, all property and assets vested in His Majesty for the purposes of the Government of the Dominion of India and each Governor’s Province shall vest respectively in the Union and the corresponding State. It also states that all rights, liabilities, and obligations of the Government of the Dominion of India and of each Governor's Province shall be the rights, liabilities, and obligations respectively of the Government of India and the Government of each corresponding State. This article ensures a smooth transfer of assets and liabilities from the previous government structures to the newly established Union and State governments under the Constitution.","['what', '294', 'significance', 'the', 'constitution', 'in', 'of', 'article', 'is', 'indian']"
What does Article 295 of the Indian Constitution entail?,"Article 295 of the Indian Constitution deals with the succession to property, assets, rights, liabilities, and obligations in other cases. It specifies that from the commencement of the Constitution, all property and assets vested in any Indian State corresponding to a State specified in Part B of the First Schedule shall vest in the Union if the purposes for which they were held before the commencement will be purposes of the Union relating to matters enumerated in the Union List. It also states that all rights, liabilities, and obligations of the Government of any Indian State corresponding to a State specified in Part B of the First Schedule shall be the rights, liabilities, and obligations of the Government of India if the purposes for which they were acquired or incurred before the commencement will be purposes of the Government of India relating to matters enumerated in the Union List. This article ensures the proper allocation of property, assets, rights, liabilities, and obligations in cases involving the transition of Indian States into the new constitutional framework.","['what', 'the', 'entail', '295', 'constitution', 'does', 'of', 'article', 'indian']"
What is the purpose of Article 296 in the Indian Constitution?,"Article 296 of the Indian Constitution deals with property accruing by escheat, lapse, or as bona vacantia (property without a rightful owner) within the territory of India. It states that such property, if situated in a State, shall vest in that State, and if situated in any other case, shall vest in the Union. The article also provides a clarification that any property in possession or under control of the Government of India or the Government of a State at the date when it would have accrued to His Majesty or the Ruler of an Indian State shall vest in the Union or in that State, depending on the purposes for which it was then used or held. This article ensures proper allocation of ownerless property in the territory of India.","['what', 'the', 'purpose', 'constitution', 'in', 'of', 'article', 'is', 'indian', '296']"
